2025-09-23, 185.0, 50.0, 14.0, 24.09
2025-09-23, 185.0, 50.0, 14.0, 24.09
2025-09-23, 185.0, 50.0, 14.0, 24.09
2025-09-23, 205.0, 60.0, 15.0, 39.92
2025-09-23, 185.0, 50.0, 14.0, 24.09
2025-09-23, 205.0, 60.0, 15.0, 39.92
2025-09-23, 225.0, 14.0, 5.0, 3.53
2025-09-23, 185.0, 50.0, 14.0, 24.09
2025-09-23, 205.0, 60.0, 15.0, 39.92
2025-09-23, 205.0, 60.0, 15.0, 39.92
2025-09-23, 185.0, 50.0, 14.0, 24.09
2025-09-23, 205.0, 60.0, 15.0, 39.92
2025-09-23, 185.0, 50.0, 14.0, 24.09
2025-09-23, 205.0, 60.0, 15.0, 39.92
